"pais","cajeros17","camas14","cto_pib16","densidad17","desempleo17","deuda16","electri16","fertil16","gasto_edu16","gasto_id16","gasto_militar17","pib16","pm2517","pobRural17","tierrasCult16"
"Congo, República Democrática del",NA,NA,2.39937909829004,35.8792210140932,4.10200023651123,NA,17.1473789215088,2.47670284647337,2.1186900138855,NA,0.698773595862802,37134799974.5225,44.9092635986842,56.12,3.13182329458989
"Corea, República de",NA,NA,2.9293047947001,527.918010624996,3.70000004768372,4.22744,100,380.281491907108,NA,4.22744,2.55489759924121,1414804158515.26,25.0394253880491,18.497,14.5760028625023
"Corea, República Popular Democrática de",NA,NA,NA,211.701395232954,3.28699994087219,NA,39.2442245483398,NA,NA,NA,NA,NA,32.0074516237453,38.322,19.5166514409102
"Costa Rica",64.8836244294391,1.1,4.24598987825375,96.0785154719937,8.14200019836426,0.45775,100,604.885834911616,7.11873006820679,0.45775,0,57157992434.219,15.7259203021082,21.44,4.84723854289072
"Côte d'Ivoire",NA,NA,7.97174573809407,76.3985849056604,2.48799991607666,NA,64.3,51.6833378232759,4.9483699798584,NA,1.28044342958904,35389998638.9371,25.8862663364222,49.674,9.11949685534591
"Croacia",140.381651016327,5.89,3.53612954934364,73.7049857040743,11.2080001831055,0.84581,100,119.309633027523,NA,0.84581,1.43693076288569,51640880494.2725,17.9017722884016,43.333,15.5825589706934
"Cuba",NA,5.2,0.513761467889907,110.407960007691,2.27800011634827,0.34865,100,49.4462403044873,NA,0.34865,NA,9.137e+10,19.7060474004201,23.023,28.7387031565444
"Curacao",NA,NA,NA,360.754504504505,NA,NA,100,NA,NA,NA,NA,NA,NA,10.797,NA
"Dinamarca",50.0573547095148,NA,2.39968219011206,137.294117647059,5.74300003051758,2.87125,100,131.147789473684,NA,2.87125,1.1743563530405,311988101661.744,10.0296534385694,12.243,56.5610859728507
"Djibouti",12.1305857556597,1.4,8.72226006105292,41.28494391717,11.1639995574951,NA,51.7826919555664,NA,NA,NA,NA,1764268468.93991,45.5496175977411,22.352,0.0862812769628991
"Dominica",36.2794554626494,NA,2.52204573406682,98.5666666666667,NA,NA,100,88.0516688028973,NA,NA,NA,575468222.222222,19.4931537608634,29.819,8
"Ecuador",50.2806115373074,NA,-1.22638398463877,66.9385488806571,3.83599996566772,NA,99.9368133544922,345.441918545082,NA,NA,2.44525303013686,99937696000,14.8861006610676,36.33,3.92977935255275
"Egipto, República Árabe de",NA,1.6,4.34664345555436,97.9990466623135,11.7700004577637,0.70848,100,649.194044474581,NA,0.70848,1.28592370657335,332927833278.038,86.9994520503272,57.295,2.79950777992993
"El Salvador",37.2643558448041,1.3,2.58057746976483,307.811438223938,4.38500022888184,0.14662,98.618896484375,132.377977389332,3.86991000175476,0.14662,0.900517693929695,23912227500,24.4722922946922,28.725,35.5694980694981
"Emiratos Árabes Unidos",65.5058467242258,NA,2.98844182081464,132.359124190369,2.46300005912781,0.96366,100,NA,NA,0.96366,NA,357045064669.843,40.9175098248731,13.752,0.626584060827936
"Eslovenia",93.6550563235978,NA,3.14835548996039,102.59100635951,6.56400012969971,2.00202,100,258.940606567552,NA,2.00202,0.998213669123627,44708598648.8562,16.0239799760869,45.727,9.12918326583366
"España",111.834936211599,NA,3.1725896604465,93.2676743266276,17.2240009307861,1.18549,100,143.966128806536,NA,1.18549,1.24256230721419,1237499479181.11,9.69792786284953,19.92,24.6958949671581
"Estados Unidos",NA,NA,1.56721516988173,35.5452270694906,4.35500001907349,2.74418,100,138.594847713652,NA,2.74418,3.14922157590148,1.8707189e+13,7.40944166188307,17.942,16.6454038406458
"Estonia",67.9896269948574,NA,3.48909711147971,30.3055900621118,5.76000022888184,1.28129,100,112.681034482759,NA,1.28129,2.098303197163,23984296770.8115,6.73212401545877,31.283,16.0110420979986
"Eswatini",30.0408695550924,NA,3.22247241618905,79.491511627907,22.3400001525879,NA,65.7902069091797,NA,NA,NA,1.75285296471699,3817430000,17.1687873115117,76.375,10.1744186046512
"Etiopía",NA,NA,7.56176669205257,104.957438,1.80999994277954,NA,42.9,14.433712112343,NA,NA,0.65965531917494,73000980433.9486,38.9787377576037,79.69,15.119
"Federación de Rusia",163.926125254343,NA,-0.224910984282289,8.82322079860193,5.21199989318848,1.09557,100,18.4636402729436,NA,1.09557,4.26246905819036,1282663609770.69,16.1602238064949,25.708,7.51803124238636
"Fiji",50.1771639866915,NA,0.380003448395996,49.5622331691297,4.14300012588501,NA,98.6460494995117,46.0331513375947,NA,NA,0.901019873566709,4671313314.55578,10.8401599042944,44.258,9.0311986863711
"Filipinas",28.3058133893016,NA,6.8757148228183,351.873394372338,2.55200004577637,NA,90.9816131591797,157.424038461538,NA,NA,1.39055908308517,304889079564.142,18.0697989132741,53.318,18.7476942683704
"Finlandia",32.5151160222015,NA,2.7719255201694,18.1244908031983,8.64000034332275,2.74645,100,80.5097951914515,NA,2.74645,1.4377584242957,239009517793.721,5.86133100081928,14.675,7.39034582606693
"Francia",NA,NA,1.17105015179229,122.554389693596,9.39700031280518,2.24805,100,163.139086068431,NA,2.24805,2.25522862089854,2465134297438.91,11.8149636162893,19.82,33.5233047587298
"Gabón",NA,NA,2.09144220829562,7.85942096479994,19.3740005493164,NA,91.3955001831055,26.7664002403846,NA,NA,2.05564388549373,14014369641.7689,44.3855484644179,11.024,1.26130321729344
"Gambia",NA,NA,0.405596455448503,207.566007905138,8.9060001373291,NA,47.7570877075195,1.23534089868719,3.08512997627258,NA,NA,1442298542.44008,33.9826385538147,39.401,43.4782608695652
"Georgia",75.9305312960324,NA,2.84897337602513,65.0320165156234,13.9300003051758,0.30104,100,170.832122093023,3.78477001190186,0.30104,2.22513922924217,14378016729.1587,22.1960546181194,41.769,4.95035256871492
"Ghana",11.5308728684598,NA,3.44779299129728,126.718946119364,6.62900018692017,NA,79.3,20.8765957446809,5.76632022857666,NA,0.406035055008352,55009730600.0307,34.713514102152,44.593,20.6557088863497
"Gibraltar",NA,NA,NA,3457.1,NA,NA,100,NA,NA,NA,NA,NA,NA,0,NA
"Granada",44.0678392908855,3.7,3.73561413158529,317.132352941176,NA,NA,92.344367980957,NA,10.2931299209595,NA,NA,1061631222.22222,22.722687475907,63.836,8.82352941176471
"Grecia",61.5326147029168,NA,-0.19095227668727,83.4253762606672,21.488000869751,1.007,100,123.011214953271,NA,1.007,2.50615718393274,195222443512.937,16.2182663806558,21.276,16.6020170674942
"Groenlandia",NA,NA,7.66299889492275,0.136852235351444,NA,NA,100,NA,NA,NA,NA,2705898955.68727,11.6021794589767,13.426,NA
"Guam",NA,NA,0.250288794763193,304.127777777778,5.24499988555908,NA,100,NA,NA,NA,NA,5.793e+09,11.6344068102394,5.301,1.85185185185185
"Guatemala",36.0577787443354,0.6,3.09248255769093,157.834107876073,2.68400001525879,NA,91.7792282104492,303.15318662993,2.83280992507935,NA,0.373221347790199,68663653469.1246,24.0706489340746,49.32,8.04404628592759
"Guinea",2.24702055288417,NA,10.4541058171845,51.7547452384828,3.57200002670288,NA,33.5,1.5685838859312,2.51799988746643,NA,2.33246673563621,8694360304.56367,26.062490198745,64.207,12.6159856747518
"Guinea Ecuatorial",NA,NA,-8.53391058524575,45.1939037433155,9.15499973297119,NA,67.889289855957,NA,NA,NA,NA,11260900825.8233,53.2406210371101,28.354,4.27807486631016
"Guinea-Bissau",NA,NA,6.26280563780463,66.1907183499289,4.03299999237061,NA,14.6557903289795,NA,NA,NA,NA,1178204501.38801,29.774702280636,57.055,10.6685633001422
"Guyana",20.2789074014391,1.6,3.31613165474853,3.95153162306325,12.1149997711182,NA,84.2429046630859,44.6040480840774,6.06099987030029,NA,1.44367725358619,3504024213.07506,22.3755746295002,73.462,2.13360426720853
"Haití",1.9699901215185,NA,1.45270702675018,398.448076923077,13.4049997329712,NA,38.6901664733887,NA,2.44958996772766,NA,0.000887482706635177,7970649131.23416,15.0198243767223,45.654,38.8243831640058
"Honduras",23.8899011877055,0.7,3.75214890971107,82.8051389757798,4.0479998588562,NA,87.5766296386719,164.317604932598,6.30177021026611,NA,1.57823031163463,21643936938.9096,20.6288506487651,43.543,9.1160961658772
"Hong Kong, Región Administrativa Especial",NA,NA,2.16292329544639,7039.71428571429,3.08999991416931,0.79144,100,2704.00336710612,3.29264998435974,0.79144,NA,320881182123.855,NA,0,2.85714285714286
"Hungría",60.9371530466981,NA,2.28079775023321,108.118480061858,4.1560001373291,1.20606,100,128.252543940796,NA,1.20606,1.05492693100073,126007978024.32,15.9260481922424,28.938,47.763172429029
"India",22.0651156767536,NA,8.16952650546381,450.418616704617,2.55699992179871,NA,84.5268173217773,165.848155794022,NA,NA,2.49304554388627,2290432075123.55,90.8732104688993,66.4,52.6246220389548
"Indonesia",55.6141943330245,NA,5.03306918280214,145.725188096513,4.18499994277954,NA,97.62,231.36957712766,NA,NA,0.809337385992921,931877364177.742,16.5026533008949,45.341,12.9721733082354
"Irán, República Islámica del",76.4881431511103,1.5,13.3962444619863,49.831029740416,12.1000003814697,NA,100,76.2920466441411,3.36576008796692,NA,3.0992593494529,418976679728.567,38.9787602813703,25.606,9.01728922615978
"Iraq",2.67839620090321,1.4,13.0241537218475,88.1643600763276,7.89099979400635,0.03631,100,35.8172511474609,NA,0.03631,3.85510554446111,170559560067.682,61.6362357139826,29.722,11.5173403006044
"Irlanda",89.500261429938,NA,4.98758243684672,69.8406299898389,6.71000003814697,1.17681,100,1247.93825322309,NA,1.17681,0.356780589521843,302242900803.522,8.20857673526837,37.053,6.47408912759472
"Isla de Man",NA,NA,7.40000000000001,147.871929824561,NA,NA,100,NA,NA,NA,NA,6592627599.24386,NA,47.542,41.2280701754386
"Isla de San Martín (parte francesa)",NA,NA,NA,590.533088235294,NA,NA,71.9702835083008,NA,NA,NA,NA,NA,NA,NA,NA
"Islandia",89.4708685093882,3.2,7.35147530184462,3.42543640897756,2.74200010299683,2.0754,100,181.528925619835,NA,2.0754,0,20716024757.4057,6.48114726265749,6.227,1.2069825436409
"Islas Caimán",NA,NA,3.53565894998683,256.495833333333,NA,NA,100,NA,NA,NA,NA,NA,NA,0,0.833333345750967
"Islas del Canal",NA,NA,NA,834.919224090548,7.34700012207031,NA,100,NA,NA,NA,NA,NA,NA,69.086,19.6969709375929
"Islas Feroe",NA,NA,NA,35.3080213789178,NA,NA,100,NA,NA,NA,NA,NA,NA,58.086,2.1489970407132
"Islas Marshall",NA,NA,1.91049498750886,295.15,NA,NA,93.1380462646484,NA,NA,NA,NA,194497900,10.2413322193799,23.366,11.1111111111111
"Islas Salomón",12.0358507875458,NA,3.45660642437728,21.8414790996785,1.77100002765656,NA,47.9191436767578,NA,NA,NA,NA,1232699139.42779,11.8791218449166,76.714,0.714540907466953
"Islas Turcas y Caicos",NA,NA,NA,37.3115789473684,NA,NA,95.700439453125,NA,NA,NA,NA,NA,NA,7.18300000000001,1.05263157894737
"Islas Vírgenes (EE.UU.)",NA,NA,0.936995153473347,306.48,8.46199989318848,NA,100,NA,NA,NA,NA,NA,10.2653122841077,4.39700000000001,2.85714285714286
"Islas Vírgenes Británicas",NA,NA,NA,207.973333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.663,6.66666666666667
"Israel",121.258372180984,NA,4.00788872389455,402.647874306839,4.21500015258789,4.25121,100,280.677966101695,NA,4.25121,4.72554299519915,319377923613.703,21.3811022400146,7.664,13.6321626617375
"Italia",92.400918600721,NA,1.14551282211828,205.809169103148,11.2110004425049,1.28566,100,129.847318994244,NA,1.28566,1.52231264638547,1869117192194.75,16.7507119446607,29.856,22.4450941728429
"Jamaica",31.7897826742998,NA,1.38065838326224,266.878947368421,11.6590003967285,NA,98.2042694091797,57.246332804362,5.31865978240967,NA,0.903537784704449,14072135208.5664,13.4041505299481,44.622,11.0803324099723
"Japón",127.766988406163,NA,0.938193886449625,347.777586679833,2.79999995231628,3.14081,100,242.184512428298,3.46745991706848,3.14081,0.934960013781154,4949273341993.88,11.7047781866642,8.465,11.4768488040377
"Jordania",27.9981513549379,1.9,2.00373364209914,109.285345798603,14.878999710083,0.33201,100,112.045859460028,3.89620995521545,0.33201,4.79778790473561,38654727746.4789,33.0060811782318,9.253,2.67244868784451
"Kazajstán",74.5997409588432,NA,1.09999999999941,6.68140015557284,4.90000009536743,0.14179,100,4.32556557237625,2.97810006141663,0.14179,0.841222461618476,137278320084.171,13.8242883553909,42.664,10.8882468422417
"Kenya",NA,NA,5.86919769831908,87.3244930948449,9.29199981689453,NA,56,38.1802193056304,5.36266994476318,NA,1.23070762931394,70875223143.0362,28.5783742715702,73.438,10.1908142109147
"Kirguistán",33.4303962512572,NA,4.3358559012983,32.3159541188738,6.8899998664856,0.11121,99.9961013793945,31.4107142857143,6.58615016937256,0.11121,3.15817105574688,6813092065.83507,22.737768057102,63.865,6.71532846715329
"Kiribati",NA,NA,5.12975052525447,143.701234567901,NA,NA,84.9362716674805,NA,NA,NA,NA,178328873.030033,10.6408558565694,46.738,2.46913580246914
"Kosovo",36.0109186230606,NA,4.05657859621029,168.154679893451,NA,NA,100,NA,NA,NA,NA,6714712389.38053,NA,NA,NA
"Kuwait",64.4286074046025,2,3.54700508846648,232.128395061728,1.99699997901917,0.07878,100,750.723785400391,NA,0.07878,5.7511657679889,110912280701.754,60.7451595380732,0,0.448933782267116
"Lesotho",NA,NA,3.17898668264355,73.5618906455863,23.613000869751,NA,29.7333087921143,NA,NA,NA,2.23077501556587,2323419619.1784,28.0286535158261,72.27,11.5942028985507
"Letonia",61.8848925513333,NA,2.06438129607109,31.2358957864265,8.71500015258789,0.44292,100,104.192546583851,NA,0.44292,1.72165391597291,27695474684.447,13.4264575158321,31.925,20.7140559665487
"Líbano",40.6584879403334,2.9,1.74074199044236,594.560801564027,6.11399984359741,NA,100,330.925452030066,NA,NA,4.51384913383659,51483909754.8922,30.6211105076066,11.571,12.9032258064516
"Liberia",NA,NA,-1.59958407502003,49.1269310631229,2.02800011634827,NA,19.8,NA,4.00885009765625,NA,0.638154205607477,3277826000,17.9841124551525,49.303,5.19102990033223
"Libia",3.75581851622896,3.7,-2.79546888990185,3.62288780022051,17.1219997406006,NA,98.5367279052735,11.6511627906977,NA,NA,NA,26221660076.2226,54.2546817939319,20.183,0.977528217602328
"Liechtenstein",NA,NA,NA,237.0125,NA,NA,100,NA,NA,NA,NA,6214633651.30911,NA,85.685,13.5000005364418
"Lituania",46.7498907877671,NA,2.3531813074454,45.151861559541,7.07299995422363,0.84724,100,131.865017792662,NA,0.84724,1.74849355409919,42973365745.2891,11.8532823587456,32.484,34.203889257236
"Luxemburgo",115.39664963297,4.9,2.41143078605366,245.405761316872,5.52199983596802,1.24366,100,262.107983188199,NA,1.24366,0.506057732972932,58961235412.2227,10.3646374004433,9.273,25.4567903746303
"Macedonia del Norte",59.4074010904226,NA,2.84844146117298,82.5995241871531,22.3810005187988,0.43287,100,79.3148815448468,NA,0.43287,0.982591845991025,10672471860.7184,29.7269445083568,42.252,16.4948453608247
"Madagascar",2.79570307062933,NA,4.17999023566718,43.9513492609144,1.6690000295639,0.01498,22.9,5.17497140066964,NA,0.01498,0.585291220334417,10001193315.1966,22.5422828750867,63.478,6.01581299415607
"Malasia",46.7511306545785,NA,4.22341019438007,96.2540374372242,3.41000008583069,NA,100,1723.38931405896,4.82753992080688,NA,1.12545305226534,296752886724.682,16.0358087060705,24.553,2.68452290366763
"Malawi",NA,NA,2.48404062641868,197.519134493,5.46799993515015,NA,11,21.6058956106086,4.74856996536255,NA,0.770181559510525,5433040159.88747,23.5659214726087,83.286,40.3054730589733
"Maldivas",35.0103385230425,NA,7.28918630548748,1454.43333333333,5.82999992370605,NA,100,314.899988543682,4.25198984146118,NA,NA,4414055724.80263,7.79582079890031,60.62,13.0000003178914
"Malí",NA,NA,5.79999999505212,15.1959776756079,9.4350004196167,NA,35.0694999694824,44.2350220811886,3.09070992469788,NA,3.05409374754473,14010787737.8424,38.5266061638458,58.428,5.25409977134708
"Malta",55.2540839817784,4.7,5.23058494709528,1462.496875,4.56699991226196,0.59697,100,264.601981960309,NA,0.59697,0.531739045329309,11274020600.9269,13.9095433663149,5.45399999999999,28.3437490463257
"Mariana",NA,NA,28.2238442822384,119.878260869565,NA,NA,100,NA,NA,NA,NA,1.25e+09,9.89298112932514,8.47,2.17391304347826
"Marruecos",26.9793106722538,1.1,1.12597745123138,80.0797221599821,9.05300045013428,NA,100,71.1056340329028,NA,NA,3.15289970401785,103345296966.607,32.5935414574286,38.092,18.2164463365449
"Mauricio",43.5042726807687,NA,3.83795242599929,622.962068965517,6.7519998550415,NA,98.7817840576172,235.307998046875,5.01359987258911,NA,0.180650269220452,12232463655.5727,14.4578273223582,59.159,36.9458128078818
"Mauritania",NA,NA,2.00000000023441,4.28852624429999,10.2760000228882,NA,41.6521072387695,NA,2.63106989860535,NA,NA,4739298730.42216,47.4229917763898,47.176,0.436596487823809
"México",53.5322710277067,NA,2.89785956923329,66.4437233467939,3.42000007629395,0.4865,100,114.006216204237,NA,0.4865,0.501742892217072,1077779580638.77,20.9211157874081,20.133,11.6062655932509
"Mónaco",NA,NA,3.21384883419209,19347.5,NA,NA,100,NA,1.37101995944977,NA,NA,6468252212.38938,NA,0,NA
"Mongolia",NA,NA,1.1683934561722,1.97974136821236,6.35900020599365,0.18342,81.775032043457,39.9686710595766,5.18211984634399,0.18342,0.737103433743093,11186734674.3847,40.1128490470476,31.637,0.365096946501603
"Montenegro",80.8327109085359,NA,2.89999999999976,46.2730855018587,16.0709991455078,NA,100,285.207770453559,NA,NA,1.66709874075207,4374130530.97345,20.7818135501738,33.523,0.669144981412639
"Mozambique",8.93156667799138,NA,3.76327559260542,37.7283679645973,3.17300009727478,NA,24.1983394622803,3.72271333137445,NA,NA,0.814664612405456,10981358030.5316,21.2986954591341,64.545,7.18482158752766
"Myanmar",4.37892469127877,NA,5.86247291517364,81.7213955411282,1.55099999904633,NA,57.0093841552734,17.8731736454895,NA,NA,2.48330400391302,63256184700.2223,35.5574529190767,69.678,16.7023948061493
"Namibia",NA,NA,0.641649561288446,3.0776445723864,23.0879993438721,NA,51.7824249267578,26.1067136383057,NA,NA,3.38226697888262,11281259987.2185,25.3587653984573,50.995,0.971711061715799
"Nauru",NA,NA,10.4000039995401,643.8,NA,NA,99.2028045654297,NA,NA,NA,NA,102060129.577055,NA,0,NA
"Nepal",10.2756014066069,NA,0.588678498822517,204.429703522846,1.25300002098083,NA,90.7,74.0784812158865,4.44098997116089,NA,1.55275226969285,21185922407.5922,99.7343737198505,80.664,14.7450293070937
"Nicaragua",17.6546470022455,0.9,4.65875919160213,51.6667857736414,4.21299982070923,NA,81.7967987060547,61.4632126828457,4.11263990402222,NA,0.609922666005609,13184989877.5664,17.6141804489581,41.701,12.4979225527672
"Níger",NA,NA,4.92593093257608,16.9553548590827,0.284999996423721,NA,16.2172336578369,0.402090467725481,4.04160022735596,NA,2.67475842476021,7528285443.60769,94.0538176774282,83.65,13.2628088734507
"Nigeria",16.3208603511276,NA,-1.61686895000074,209.587833371762,6.01300001144409,NA,59.3,5.47036730238971,NA,NA,0.411707322019499,404649527537.713,71.7981743753326,50.481,37.3310495514784
